date, pm10, no2, so2, co
02-03-2025,71,18,3,9
03-03-2025,70,16,3,9
04-03-2025,72,12,4,11
05-03-2025,73,11,4,11
06-03-2025,72,12,4,11
07-03-2025,74,12,4,12
08-03-2025,73,12,4,11
09-03-2025,73,12,4,11
10-03-2025,69,12,4,13
11-03-2025,68,12,4,12
12-03-2025,67,12,4,11
13-03-2025,68,12,4,11
14-03-2025,69,12,4,10
15-03-2025,71,12,4,12
16-03-2025,69,12,4,12
17-03-2025,70,12,4,12
18-03-2025,69,12,4,12
19-03-2025,70,11,4,14
20-03-2025,70,12,4,12
21-03-2025,70,11,4,12
22-03-2025,69,11,4,14
23-03-2025,69,11,4,11
24-03-2025,69,11,4,12
25-03-2025,70,11,4,12
26-03-2025,71,11,3,11
27-03-2025,72,12,4,10
28-03-2025,73,12,4,9
29-03-2025,73,12,3,10
30-03-2025,72,12,4,10
31-03-2025,72,11,4,10
01-10-2024,74,12,6,11
02-10-2024,41,12,7,11
03-10-2024,27,11,7,11
04-10-2024,91,11,6,11
05-10-2024,52,11,5,11
06-10-2024,73,11,7,11
07-10-2024,116,11,6,11
08-10-2024,39,11,5,11
09-10-2024,93,11,5,11
10-10-2024,74,11,5,11
11-10-2024,38,11,5,11
12-10-2024,76,11,5,11
13-10-2024,29,10,6,11
14-10-2024,49,10,6,11
15-10-2024,52,10,5,11
16-10-2024,61,10,5,12
17-10-2024,61,10,5,11
18-10-2024,61,10,4,11
19-10-2024,63,11, ,11
20-10-2024,63,10, ,11
21-10-2024,62,10, ,12
22-10-2024,63,10, ,11
23-10-2024,63,10, ,12
24-10-2024,62,10,10,14
25-10-2024,58,11,6,13
26-10-2024,60,11,5,14
27-10-2024,60,11,4,15
28-10-2024,74,11,5,13
29-10-2024,81,11,6,13
30-10-2024,89,11,8,16
31-10-2024,117,15,6,17
01-11-2024,97,14,6,19
02-11-2024,81,12,5,21
03-11-2024,83,12,5,13
04-11-2024,81,12,5,12
05-11-2024,111,12,5,13
06-11-2024,60,12,6,12
07-11-2024,108,11,6,12
08-11-2024,52,10,6,12
09-11-2024,22,10,6,11
10-11-2024,55,10,6,12
11-11-2024,66,10,6,11
12-11-2024,63,10,6,12
13-11-2024,47,10,6,12
14-11-2024,45,10,6,12
15-11-2024,54,10,6,11
16-11-2024,61,10,6,9
17-11-2024,72,10,7,10
18-11-2024,66,9,5,10
19-11-2024,59,9,5,11
20-11-2024,60,9,5,12
21-11-2024,62,9,6,11
22-11-2024,60,10,5,13
23-11-2024,68,10,5,10
24-11-2024,63,10,5,12
25-11-2024,70,10,5,9
26-11-2024,66,10,5,10
27-11-2024,64,10,4,10
28-11-2024,22,10,5,9
29-11-2024,16,10,5,8
30-11-2024,17,10,4,8
01-12-2024,16, , , 
03-12-2024,35,9,5,10
04-12-2024,56,9,5,10
05-12-2024,56,9,5,11
06-12-2024,57,9,5,10
07-12-2024,57, , , 
09-12-2024,58,10,6,10
10-12-2024,58,9,5,9
11-12-2024,55,9,6,12
12-12-2024,56,9,6,11
13-12-2024,112,9,6,10
14-12-2024,58,9,6,10
15-12-2024,58,9,6,11
16-12-2024,62,9,6,9
17-12-2024,65,9,5,9
23-12-2024,65,9,6,9
24-12-2024,67,9,6,8
25-12-2024,66,9,6,10
26-12-2024,66,9,6,10
27-12-2024,66,9,6,10
28-12-2024,67,9,6,10
29-12-2024,67, , , 
02-07-2024,59,9,6,11
03-07-2024,56,9,6,11
04-07-2024,65,9,6,11
05-07-2024,61,9,6,11
06-07-2024,65,9,6,11
07-07-2024,66,9,6,12
08-07-2024,65,9,6,12
09-07-2024,59,10,6,11
11-07-2024,68,10,6,13
12-07-2024,69,9,7,12
13-07-2024,67,9,8,12
14-07-2024,65,9,8,11
15-07-2024,66,9,7,11
16-07-2024,30,9,7,13
17-07-2024,72,9,6,11
18-07-2024,59,9,6,11
19-07-2024,80,9,6,12
20-07-2024,104,8,6,11
21-07-2024,78,9,6,11
22-07-2024,73,8,6,11
23-07-2024,67,9,6,11
24-07-2024,66,9,8,11
25-07-2024,61,8,8,12
26-07-2024,62,8,8,11
27-07-2024,58,8,8,11
